A,B,BitWidth,Exact,Truncated,Simplified,Reduced,Stochastic,AbsError_Truncated,RelError_Truncated,AbsError_Simplified,RelError_Simplified,AbsError_Reduced,RelError_Reduced,AbsError_Stochastic,RelError_Stochastic
7,4,4,11,8,7,3,14,3,0.2727272727272727,4,0.36363636363636365,8,0.7272727272727273,3,0.2727272727272727
7,4,4,11,8,7,3,6,3,0.2727272727272727,4,0.36363636363636365,8,0.7272727272727273,5,0.45454545454545453
7,5,4,12,8,7,0,13,4,0.3333333333333333,5,0.4166666666666667,12,1.0,1,0.08333333333333333
7,5,4,12,8,7,0,8,4,0.3333333333333333,5,0.4166666666666667,12,1.0,4,0.3333333333333333
7,6,4,13,8,7,1,13,5,0.38461538461538464,6,0.46153846153846156,12,0.9230769230769231,0,0.0
7,6,4,13,8,7,1,2,5,0.38461538461538464,6,0.46153846153846156,12,0.9230769230769231,11,0.8461538461538461
7,7,4,14,8,7,2,12,6,0.42857142857142855,7,0.5,12,0.8571428571428571,2,0.14285714285714285
7,7,4,14,8,7,2,13,6,0.42857142857142855,7,0.5,12,0.8571428571428571,1,0.07142857142857142
7,8,4,15,12,15,15,6,3,0.2,0,0.0,0,0.0,9,0.6
7,8,4,15,12,15,15,9,3,0.2,0,0.0,0,0.0,6,0.4
7,9,4,0,12,15,12,14,12,12.0,15,15.0,12,12.0,14,14.0
7,9,4,0,12,15,12,9,12,12.0,15,15.0,12,12.0,9,9.0
7,10,4,1,12,15,13,5,11,11.0,14,14.0,12,12.0,4,4.0
7,10,4,1,12,15,13,11,11,11.0,14,14.0,12,12.0,10,10.0
7,11,4,2,12,15,14,4,10,5.0,13,6.5,12,6.0,2,1.0
7,11,4,2,12,15,14,1,10,5.0,13,6.5,12,6.0,1,0.5
7,12,4,3,0,15,11,12,3,1.0,12,4.0,8,2.6666666666666665,9,3.0
7,12,4,3,0,15,11,6,3,1.0,12,4.0,8,2.6666666666666665,3,1.0
7,13,4,4,0,15,8,9,4,1.0,11,2.75,4,1.0,5,1.25
7,13,4,4,0,15,8,4,4,1.0,11,2.75,4,1.0,0,0.0
7,14,4,5,0,15,9,8,5,1.0,10,2.0,4,0.8,3,0.6
7,14,4,5,0,15,9,10,5,1.0,10,2.0,4,0.8,5,1.0
7,15,4,6,0,15,10,12,6,1.0,9,1.5,4,0.6666666666666666,6,1.0
7,15,4,6,0,15,10,1,6,1.0,9,1.5,4,0.6666666666666666,5,0.8333333333333334
8,0,4,8,8,8,8,13,0,0.0,0,0.0,0,0.0,5,0.625
8,0,4,8,8,8,8,7,0,0.0,0,0.0,0,0.0,1,0.125
8,1,4,9,8,9,9,10,1,0.1111111111111111,0,0.0,0,0.0,1,0.1111111111111111
8,1,4,9,8,9,9,3,1,0.1111111111111111,0,0.0,0,0.0,6,0.6666666666666666
8,2,4,10,8,10,10,5,2,0.2,0,0.0,0,0.0,5,0.5
8,2,4,10,8,10,10,7,2,0.2,0,0.0,0,0.0,3,0.3
8,3,4,11,8,11,11,5,3,0.2727272727272727,0,0.0,0,0.0,6,0.5454545454545454
8,3,4,11,8,11,11,4,3,0.2727272727272727,0,0.0,0,0.0,7,0.6363636363636364
8,4,4,12,12,12,12,8,0,0.0,0,0.0,0,0.0,4,0.3333333333333333
8,4,4,12,12,12,12,8,0,0.0,0,0.0,0,0.0,4,0.3333333333333333
8,5,4,13,12,13,13,12,1,0.07692307692307693,0,0.0,0,0.0,1,0.07692307692307693
8,5,4,13,12,13,13,0,1,0.07692307692307693,0,0.0,0,0.0,13,1.0
8,6,4,14,12,14,14,7,2,0.14285714285714285,0,0.0,0,0.0,7,0.5
